subNo,ageYrs,ageYrsRound,sex,grassSky_sum,upDown_sum,vocab_sum,divDes_a1_peWcontrol,divDes_b12_peWcontrol,divDes_c5_peWcontrol,divDes_a9_peWcontrol,divDes_c1_peWcontrol,divDes_b10_peWcontrol,divBel_a3_peWcontrol,divBel_b7_peWcontrol,divBel_a6_peWcontrol,divBel_c8_peWcontrol,trueBel_a7_peWcontrol,trueBel_b1_peWcontrol,trueBel_c12_peWcontrol,falseBelContents_a8_peWcontrol,falseBelContents_b3_peWcontrol,falseBelContents_c4_peWcontrol,falseBelLocation_a10_peWcontrol,falseBelLocation_b11_peWcontrol,falseBelLocation_c6_peWcontrol,falseSign_a5_peWcontrol,falseSign_a13_peWcontrol,falseSign_b4_peWcontrol,falseSign_b8_peWcontrol,falseSign_c2_peWcontrol,falseSign_c9_peWcontrol,vpt1_a11_peWcontrol,vpt1_a2_peWcontrol,vpt1_b2_peWcontrol,vpt1_b5_peWcontrol,vpt2_c7_peWcontrol,vpt2_c11_peWcontrol,knowAcc_a12_peWcontrol,knowAcc_b6_peWcontrol,knowAcc_c3_peWcontrol,knowExpert_a4_peWcontrol,knowExpert_b9_peWcontrol,knowExpert_c10_peWcontrol,divDesAvg,divBelAvg,knowAvg,vptAvg,falseBelAvg,falseSignAvg,divDes_a1_pWcontrol,divDes_b12_pWcontrol,divDes_c5_pWcontrol,divDes_a9_pWcontrol,divDes_c1_pWcontrol,divDes_b10_pWcontrol,divBel_a3_pWcontrol,divBel_b7_pWcontrol,divBel_a6_pWcontrol,divBel_c8_pWcontrol,trueBel_a7_pWcontrol,trueBel_b1_pWcontrol,trueBel_c12_pWcontrol,falseBelContents_a8_pWcontrol,falseBelContents_b3_pWcontrol,falseBelContents_c4_pWcontrol,falseBelLocation_a10_pWcontrol,falseBelLocation_b11_pWcontrol,falseBelLocation_c6_pWcontrol,falseSign_a5_pWcontrol,falseSign_a13_pWcontrol,falseSign_b4_pWcontrol,falseSign_b8_pWcontrol,falseSign_c2_pWcontrol,falseSign_c9_pWcontrol,vpt1_a11_pWcontrol,vpt1_a2_pWcontrol,vpt1_b2_pWcontrol,vpt1_b5_pWcontrol,vpt2_c7_pWcontrol,vpt2_c11_pWcontrol,knowAcc_a12_pWcontrol,knowAcc_b6_pWcontrol,knowAcc_c3_pWcontrol,knowExpert_a4_pWcontrol,knowExpert_b9_pWcontrol,knowExpert_c10_pWcontrol
13,6.506849315,6,M,NA,60,20,2,2,2,2,2,2,NA,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,1,2,1.833333333,1.833333333,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
14,4.402739726,4,F,NA,54,14,2,2,2,2,2,1,NA,1,2,1,1,0,2,2,2,2,1,2,2,1,1,0,1,1,1,1,2,0,1,0,0,0,1,0,NA,1,1,1.833333333,1.333333333,0.6,0.666666667,1.833333333,0.833333333,1,1,1,1,1,1,NA,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,NA,1,1
15,6.717808219,6,F,NA,60,NA,2,2,0,2,2,2,NA,2,1,2,2,1,2,2,2,2,1,2,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,2,1.666666667,1.666666667,1.8,1.833333333,1.5,1.833333333,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
16,4.290410959,4,F,NA,54,NA,2,2,2,1,2,1,NA,2,2,2,1,0,1,2,2,2,2,2,2,0,2,2,2,1,2,2,0,2,2,0,1,2,2,2,NA,1,1,1.666666667,2,1.6,1.166666667,2,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,1
17,7.717808219,7,F,NA,60,30,NA,2,2,NA,2,2,NA,2,NA,1,NA,1,2,NA,2,2,NA,2,2,NA,NA,2,2,1,2,NA,NA,1,1,1,0,NA,2,2,NA,2,1,2,1.5,1.75,0.75,2,1.75,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,1,0,0,NA,1,1,NA,1,1
18,5.273972603,5,M (Gender: F),NA,60,20,2,2,2,2,2,2,NA,0,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,2,2,NA,1,1,2,0.666666667,1.4,1.333333333,1.833333333,1.833333333,1,1,1,1,1,1,NA,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
19,7.715068493,7,F,NA,58,13,0,2,2,2,2,0,NA,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,0,1,2,2,NA,1,2,1.333333333,2,1.6,1,1.833333333,1.333333333,0,1,1,1,1,0,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
20,5.353424658,5,M,NA,47,21,2,2,2,2,2,2,NA,2,0,1,1,0,0,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,0,0,1,2,2,NA,2,2,2,1,1.8,1.166666667,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
21,6.712328767,6,M,NA,57,21,2,2,2,2,2,2,NA,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,2,2,2,NA,1,1,2,2,1.6,1.333333333,2,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
22,7.147945205,7,F,NA,58,28,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,NA,1,2,2,2,1.8,1.833333333,2,1.5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
